feature,importance
V14,0.17115109426597752
V10,0.12167438371775947
V4,0.10891847041092934
V12,0.10838383209774502
V17,0.08826282069643393
V11,0.05929513164363522
V16,0.05695113406324054
V3,0.05274801661713012
V7,0.0277977994394147
V2,0.02767694137470042
V9,0.01941738816426099
V21,0.016526567476326966
V27,0.013094957741565001
V19,0.012438681014779436
V5,0.010668869201993822
V8,0.010453711853760747
V18,0.009900541137883759
V20,0.009569219781932066
Amount,0.008267664800212578
V1,0.0073225956884753534
V26,0.007156080270186931
V13,0.007144310450247979
V15,0.007095220047967418
V28,0.00690313266693024
V6,0.00681375648813513
V22,0.005653598059581801
V24,0.0049326002990269305
V23,0.0049209366648266546
V25,0.004633170539620966
Time,0.004227373325319108
